FechaHora,LM35 (°C),DHT11 (°C),Humedad (%),Distancia (cm),Nivel de sonido
2025-06-09 10:11:12,26.88,27.10,72.00,3.59,114
2025-06-09 10:11:14,25.42,27.10,72.00,3.28,132
2025-06-09 10:11:16,25.42,27.10,72.00,3.26,127
2025-06-09 10:11:18,25.90,27.10,72.00,3.60,148
2025-06-09 10:11:20,25.90,27.10,72.00,2.31,124
2025-06-09 10:11:22,25.42,27.10,72.00,2.31,137
2025-06-09 10:11:24,26.39,27.10,72.00,2.21,131
2025-06-09 10:11:27,25.42,27.10,72.00,2.31,129
2025-06-09 10:11:29,25.90,27.10,72.00,2.31,125
2025-06-09 10:11:31,25.90,27.10,73.00,3.49,125
2025-06-09 10:11:33,25.42,27.10,73.00,2.31,123
2025-06-09 10:11:35,25.42,27.10,73.00,2.31,121
2025-06-09 10:11:37,27.86,27.10,72.00,2.21,119
